VG,IG,ID,absId,absIg
-12.4,-1.3803E-09,2.394E-07,2.394E-07,1.3803E-09
-12.200000000000001,-1.3403E-09,3.7332E-07,3.7332E-07,1.3403E-09
-12,-1.3021E-09,5.5784E-07,5.5784E-07,1.3021E-09
-11.8,-1.2651E-09,8.0308E-07,8.0308E-07,1.2651E-09
-11.6,-1.2275E-09,1.1146E-06,1.1146E-06,1.2275E-09
-11.4,-1.1908E-09,1.5113000000000003E-06,1.5113000000000003E-06,1.1908E-09
-11.200000000000001,-1.155E-09,1.9939E-06,1.9939E-06,1.155E-09
-11,-1.1206E-09,2.5664E-06,2.5664E-06,1.1206E-09
-10.8,-1.0863E-09,3.2351E-06,3.2351E-06,1.0863E-09
-10.6,-1.0525E-09,4.0023000000000006E-06,4.0023000000000006E-06,1.0525E-09
-10.4,-1.0197E-09,4.8696000000000008E-06,4.8696000000000008E-06,1.0197E-09
-10.200000000000001,-9.884E-10,5.817E-06,5.817E-06,9.884E-10
-10,-9.5612E-10,6.8828E-06,6.8828E-06,9.5612E-10
-9.8,-9.2511E-10,8.0410000000000014E-06,8.0410000000000014E-06,9.2511E-10
-9.6,-8.9467000000000008E-10,9.2825000000000013E-06,9.2825000000000013E-06,8.9467000000000008E-10
-9.4,-8.6435E-10,1.0617400000000001E-05,1.0617400000000001E-05,8.6435E-10
-9.2000000000000011,-8.3474000000000006E-10,1.203E-05,1.203E-05,8.3474000000000006E-10
-9,-8.0556000000000006E-10,1.3526E-05,1.3526E-05,8.0556000000000006E-10
-8.8,-7.7768E-10,1.5094E-05,1.5094E-05,7.7768E-10
-8.6,-7.4979000000000005E-10,1.6726000000000002E-05,1.6726000000000002E-05,7.4979000000000005E-10
-8.4,-7.2284000000000006E-10,1.8428E-05,1.8428E-05,7.2284000000000006E-10
-8.2,-6.9648000000000006E-10,2.0184000000000002E-05,2.0184000000000002E-05,6.9648000000000006E-10
-8,-6.7106000000000006E-10,2.1996E-05,2.1996E-05,6.7106000000000006E-10
-7.8,-6.4546000000000006E-10,2.385E-05,2.385E-05,6.4546000000000006E-10
-7.6000000000000005,-6.2068000000000007E-10,2.5748E-05,2.5748E-05,6.2068000000000007E-10
-7.4,-5.9681E-10,2.769E-05,2.769E-05,5.9681E-10
-7.2,-5.7303E-10,2.9656000000000002E-05,2.9656000000000002E-05,5.7303E-10
-7,-5.4985E-10,3.1658E-05,3.1658E-05,5.4985E-10
-6.8,-5.2746000000000006E-10,3.3686E-05,3.3686E-05,5.2746000000000006E-10
-6.6000000000000005,-5.0557E-10,3.573E-05,3.573E-05,5.0557E-10
-6.4,-4.8369E-10,3.7786E-05,3.7786E-05,4.8369E-10
-6.2,-4.6241000000000006E-10,3.9856E-05,3.9856E-05,4.6241000000000006E-10
-6,-4.4214000000000004E-10,4.1938000000000004E-05,4.1938000000000004E-05,4.4214000000000004E-10
-5.8,-4.2151000000000003E-10,4.4030000000000004E-05,4.4030000000000004E-05,4.2151000000000003E-10
-5.6000000000000005,-4.0260000000000004E-10,4.6118E-05,4.6118E-05,4.0260000000000004E-10
-5.4,-3.8301E-10,4.8206E-05,4.8206E-05,3.8301E-10
-5.2,-3.6493000000000005E-10,5.0292E-05,5.0292E-05,3.6493000000000005E-10
-5,-3.4679000000000005E-10,5.2368000000000004E-05,5.2368000000000004E-05,3.4679000000000005E-10
-4.8,-3.2907000000000003E-10,5.4432E-05,5.4432E-05,3.2907000000000003E-10
-4.6000000000000005,-3.1151000000000004E-10,5.6492E-05,5.6492E-05,3.1151000000000004E-10
-4.4,-2.952E-10,5.8538E-05,5.8538E-05,2.952E-10
-4.2,-2.7894E-10,6.0574E-05,6.0574E-05,2.7894E-10
-4,-2.6279000000000003E-10,6.2590000000000009E-05,6.2590000000000009E-05,2.6279000000000003E-10
-14,-1.803E-09,1.9916E-09,1.9916E-09,1.803E-09
-13.8,-1.7592E-09,3.5341E-09,3.5341E-09,1.7592E-09
-13.6,-1.7112E-09,6.9459E-09,6.9459E-09,1.7112E-09
-13.4,-1.6671E-09,1.3282999999999999E-08,1.3282999999999999E-08,1.6671E-09
-13.200000000000001,-1.6204E-09,2.6872599999999997E-08,2.6872599999999997E-08,1.6204E-09
-13,-1.576E-09,5.1231599999999997E-08,5.1231599999999997E-08,1.576E-09
-12.8,-1.5336E-09,9.193659999999999E-08,9.193659999999999E-08,1.5336E-09
-12.6,-1.4928E-09,1.5244E-07,1.5244E-07,1.4928E-09
-12.4,-1.4507E-09,2.5212E-07,2.5212E-07,1.4507E-09
